Sätze	Wahrheitswert	intrinsisch/extrinsisch	Ich weiss es nicht	Kommentar	@dropdown
Die niedrigen, leichtgebauten Häuser sahen den Fluss.	FALSCH	INTR.			
Die Höhe stockte nicht.	WAHR	INTR.			
Ein junger Kaufmann saß am Fenster nicht.	FALSCH	EXTR.			
Wenn die Brücke die Anhöhen hinzog, dann ließ der fremdartige Vollbart das Geschäft an.	WAHR	EXTR.			
Das Fenster beendete einen Brief.	FALSCH	EXTR.			
Der Freund beendete einen Brief oder der Fremde verschloss das Haus.	FALSCH	EXTR.			
Wenn Georg Bendemann im ersten Stock sitzt, dann sitzt ein junger Kaufmann im ersten Stock.	WAHR	EXTR.			
Wenn die niedrigen, leichtgebauten Häuser den Fluss sahen, dann saß ein junger Kaufmann am Fenster.	FALSCH	EXTR.			
Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.	FALSCH	EXTR.			
Die Höhe stockte.	FALSCH	INTR.			
Georg Bendemann klagte.	FALSCH	EXTR.			
Georg Bendemann betrieb das Geschäft oder einen Sonntagvormittag schien der Freund.			x	unverständlich	
Georg Bendemann betrieb das Geschäft und einen Sonntagvormittag schien der Freund.			x	unverständlich	
Wenn die Anhöhen den Freund flüchteten, dann richtete die Brücke die Anhöhen.	WAHR	EXTR.			
Die Anhöhen flüchteten den Freund und die Brücke richtete die Anhöhen.	FALSCH	EXTR.			
Die Anhöhen arbeiteten im Ausland.	FALSCH	EXTR.			
Georg Bendemann hatte gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.	WAHR	EXTR.			
Georg Bendemann betrieb das Geschäft.	WAHR	EXTR.			
Wenn der Freund in Petersburg ist, dann ist ein junger Kaufmann in Rußland.	WAHR	EXTR.			
Wenn Georg Bendemann das Geschäft betrieb, dann schien einen Sonntagvormittag der Freund.			x	unverständlich	
Wenn das Fenster einen Brief beendete, dann verschloss das Haus den Fluss.	WAHR	EXTR.			
Einen Sonntagvormittag schien der Freund nicht.	WAHR	EXTR.		unverständlich	
Ein endgültiges Junggesellentum saß am Fenster.	FALSCH	INTR.		abstrakter Gegenstand / Kategorienfehler	
Ein endgültiges Junggesellentum dachte.	FALSCH	INTR.		abstrakter Gegenstand / Kategorienfehler	
Der Fremde verschloss das Haus nicht.	WAHR	EXTR.			
Die Anhöhen flüchteten den Freund oder die Brücke richtete die Anhöhen.	FALSCH	EXTR.			
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann eine rechte Verbindung mit der dortigen Kolonie.	FALSCH	EXTR.			
Ein junger Kaufmann ließ das Geschäft an nicht.			x	unverständlich	
Der Fremde zog die Anhöhen hin und ein junger Kaufmann ließ das Geschäft an.			x	unverständlich	
Der Fremde stockte nicht.	WAHR	EXTR.			
Die niedrigen, leichtgebauten Häuser unterschieden sich.	WAHR	EXTR.			
Der Fremde zog die Anhöhen hin nicht.	WAHR	EXTR.		unverständlich	
Die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSCH	EXTR.			
Der Freund beendete einen Brief.	FALSCH	EXTR.			
Der Fremde klagte.	FALSCH	EXTR.			
Georg Bendemann ist ein junger Kaufmann und hat keine rechte Verbindung mit der dortigen Kolonie der Landsleute.	FALSCH	EXTR.			
Die Höhe verdeckte die Brücke oder die Anhöhen arbeiteten im Ausland.	FALSCH	EXTR.			
Ein junger Kaufmann sah aus dem Fenster.	WAHR	EXTR.			
Wenn einen Sonntagvormittag der Freund flüchtete, dann richteten die niedrigen, leichtgebauten Häuser die Anhöhen.	FALSCH	EXTR.			
Die Höhe verdeckte die Brücke und die Anhöhen arbeiteten im Ausland.	FALSCH	EXTR.			
Der Freund dachte nicht.	FALSCH	EXTR.			
